X,Y,F__OBJECTID,LATITUDE,LONGITUDE,APN,APN_text,Address,Property_Name,Year_Endin,ENERGY_STAR_score,Prop_Type,Postal_Code,Prop_Flr_Area,Year_Built,Total_GHG_,Site_Energ,Site_EUI,Weat_Norm_SiteEUI,Source_EUI,Source_Ene,Weat_Norm_Source_EUI,Organizati,water_gallons,ESScore_In
-93.29147057711404,44.925508897149591,1,44.92551,-93.29147,902824410204,902824410204,4237 COLFAX AVE S,Barton Elementary,2012-12-31T06:00:00.000Z,36,K-12 School,55409,80464,1925,739.91,6053194.8,75.2,82.1,146,11748475.3,153.2,Minneapolis Public Schools,768944,36
-93.296186732355679,45.012737704349696,2,45.01274,-93.29619,902924420043,902924420043,1315 LOWRY AVE N,North Regional Library,2012-12-31T06:00:00.000Z,0,Other,55411,38993,1971,316.91,2344227.1,60.1,63.8,126.8,4943054.1,128.1,Hennepin County,273020,0
-93.289278687820811,45.006780498002321,3,45.00678,-93.28928,902924440247,902924440247,807 27TH AVE N,Nellie Stone Johnson Elementary,2012-12-31T06:00:00.000Z,20,K-12 School,55411,123000,2001,1201.94,9409126.8,76.5,82.2,153.9,18932843.6,157.8,Minneapolis Public Schools,1905904,20
-93.298450486871658,45.010470482429611,4,45.01047,-93.29845,902924310203,902924310203,1501 30TH AVE N,Jordan Park,2012-12-31T06:00:00.000Z,1,K-12 School,55430,123293,1999,1970.46,14894023.1,120.8,118.6,250.2,30848277.7,242.9,Minneapolis Public Schools,742764,1
-93.255546948902108,44.933229784010962,5,44.93323,-93.25555,1102824120180,1102824120181,1315 38TH ST E,Bancroft Elementary,2012-12-31T06:00:00.000Z,6,K-12 School,55407,72176,1925,546,6013222.6,83.3,93.5,127.8,9223369.1,139.2,Minneapolis Public Schools,1448128,6
-93.251684193180395,45.009390821398576,6,45.00939,-93.25168,1102924440090,1102924440094,700 22ND AVE NE,Edison Senior High,2012-12-31T06:00:00.000Z,68,K-12 School,55418,257922,1925,1896.7,20001218.9,77.5,86.4,123,31722317.8,132.3,Minneapolis Public Schools,N/A,68
-93.301621539824595,45.046728916117956,7,45.04673,-93.30162,1111821140090,1111821140085,1607 51ST AVE N,Olson Middle School,2012-12-31T06:00:00.000Z,15,K-12 School,55430,117825,1962,1407.74,13487165.1,114.5,126.7,195.7,23058178.7,208.5,Minneapolis Public Schools,1394272,15
-93.255888308710084,44.977391865195344,8,44.97739,-93.25589,2302924430200,2302924430195,212 9TH AVE S,Riverfront (Guthrie) Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2005,561.9,2580969.4,10.32,Not Available,Not Available,8104244,Not Available,City of Minneapolis,N/A,0
-93.27302816433108,44.97258126587036,9,44.97258,-93.27303,2702924130280,2702924130278,1030 2ND AVE S #RAMP,Hilton Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1992,680.3,3124830.2,Not Available,Not Available,Not Available,9811966.9,Not Available,City of Minneapolis,N/A,0
-93.275013441108982,44.974741954854849,10,44.97474,-93.27501,2702924120180,2702924120182,915 LASALLE AVE,10th and LaSalle Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,2001,140.9,1384822.7,3.85,Not Available,Not Available,1940048.3,Not Available,City of Minneapolis,N/A,0
-93.235110276188394,44.948039024764704,11,44.94804,-93.23511,102824120129,102824120129,3000 MINNEHAHA AVE,3rd Precinct,2012-12-31T06:00:00.000Z,76,Office,55406,34645,2010,455.1,2992756.9,86.4,91.3,199.3,6903360.3,202.1,City of Minneapolis,540804,76
-93.24360833877617,44.945661155962007,12,44.94566,-93.24361,102824220076,102824220076,3131 19TH AVE S,South Senior High,2012-12-31T06:00:00.000Z,32,K-12 School,55407,278843,1968,3060.16,23550432.9,84.5,91.6,172.3,48058131.7,179.9,Minneapolis Public Schools,5704996,32
-93.227753074011446,44.945909120143313,13,44.94591,-93.22775,102824110029,102824110029,3017 31ST ST E,Longfellow Elementary,2012-12-31T06:00:00.000Z,3,K-12 School,55406,44813,1925,485.69,5971904.2,133.3,150.1,188.1,8427733.3,205.7,Minneapolis Public Schools,773432,3
-93.239422189552172,44.947390524860097,14,44.94739,-93.23942,102824210105,102824210105,2225 LAKE ST E,Anishinabe Elementary,2012-12-31T06:00:00.000Z,30,Office,55407,51000,1975,109.88,4981581.8,97.7,107.5,233.4,11902521,252.3,Minneapolis Public Schools,774928,30
-93.234176028292922,45.029862808423815,15,45.02986,-93.23418,102924130103,102924130103,1800 34TH AVE NE,Waite Park Elementary,2012-12-31T06:00:00.000Z,32,K-12 School,55418,59085,1950,670.02,5994226.8,101.5,110.8,183.2,10822348.2,191,Minneapolis Public Schools,784652,32
-93.233726870650855,45.021367568344587,16,45.02137,-93.23373,102924430182,102924430182,2955 HAYES ST NE,Northeast Middle,2012-12-31T06:00:00.000Z,9,K-12 School,55418,176336,1956,1880.56,19024499.4,107.9,119.9,176.7,31163521.4,189.3,Minneapolis Public Schools,4760272,9
-93.261529728694356,44.94210688499377,17,44.94211,-93.26153,202824240082,202824240082,3345 CHICAGO AVE,Wilder / Transition Plus,2012-12-31T06:00:00.000Z,0,Other,55407,193000,1975,1841.75,20490331.4,106.2,111.8,161.6,31186087.5,167.5,Minneapolis Public Schools,2947868,0
-93.28296353137344,44.941782602448718,18,44.94178,-93.28296,302824230172,302824230172,3333 GRAND AVE S,Lyndale Elementary,2012-12-31T06:00:00.000Z,75,K-12 School,55408,91786,1966,545.06,4253022.4,46.3,50.3,93.5,8580824.3,97.7,Minneapolis Public Schools,0,75
-93.271213567457167,44.940440943434417,19,44.94044,-93.27121,302824410056,302824410056,3416 4TH AVE S,Green Central Park Elementary,2012-12-31T06:00:00.000Z,91,K-12 School,55408,112715,1993,530.56,6061845,53.8,59.9,80.2,9040900.6,85.7,Minneapolis Public Schools,N/A,91
-93.305331581948025,45.034401975167505,20,45.0344,-93.30533,402924220110,402924220110,4320 NEWTON AVE N,Henry Senior High,2012-12-31T06:00:00.000Z,68,K-12 School,55412,227525,1926,1667.81,17063692.1,75,84.1,121.8,27706535.5,132.9,Minneapolis Public Schools,N/A,68
-93.293824163158448,45.030542119220797,21,45.03054,-93.29382,402924130172,402924130172,4131 DUPONT AVE N,Hamilton School (Police Training),2012-12-31T06:00:00.000Z,51,Office,55412,41326,1960,648.5,6219761.5,150.5,163.4,255.8,10573117.9,267.2,City of Minneapolis,N/A,51
-93.213397995771231,44.938762235869014,22,44.93876,-93.2134,602823420186,602823420186,3524 42ND AVE S,Sanford Middle School,2012-12-31T06:00:00.000Z,23,K-12 School,55406,122380,1926,760.22,10558236.5,86.3,97.8,111.3,13625010.3,123.4,Minneapolis Public Schools,1730124,23
-93.22635170216823,44.924160497446174,23,44.92416,-93.22635,702823320100,702823320100,4315 31ST AVE S,Northrop at Ericsson,2012-12-31T06:00:00.000Z,80,K-12 School,55406,57874,2007,283.25,2239959.3,38.7,39.2,77.2,4469837.9,78.9,Minneapolis Public Schools,623832,80
-93.212050522845047,44.926100402126337,24,44.9261,-93.21205,702823410107,702823410107,4201 42ND AVE S,Hiawatha Elementary,2012-12-31T06:00:00.000Z,10,K-12 School,55406,39042,1925,353.2,5337878.7,136.7,155.7,166.1,6485043.9,185.8,Minneapolis Public Schools,878900,10
-93.205367057131198,44.932263140023224,25,44.93226,-93.20537,802823220067,802823220067,3900 WEST RIVER PKWY S,Dowling Elementary,2012-12-31T06:00:00.000Z,5,K-12 School,55406,90776,2007,1077.97,11813261.9,130.1,146.2,200.4,18188719.6,218.8,Minneapolis Public Schools,1004564,5
-93.325849103037299,44.929617504858278,26,44.92962,-93.32585,802824230084,802824230084,4030 CHOWEN AVE S,Lake Harriet Lower Campus (Audubon),2012-12-31T06:00:00.000Z,16,K-12 School,55410,37540,1925,395.79,4371120,116.4,130.2,178.2,6690296,192.6,Minneapolis Public Schools,460768,16
-93.308628399040742,45.015938335442065,27,45.01594,-93.30863,802924140069,802924140069,3329 PENN AVE N,Lucy Laney Elementary,2012-12-31T06:00:00.000Z,18,K-12 School,55412,111726,2000,1198.83,9174523,82.1,88.2,168.3,18808504.5,172.8,Minneapolis Public Schools,1014288,18
-93.292081431507256,44.932269499576307,28,44.93227,-93.29208,902824110127,902824110127,3800 BRYANT AVE S,SOUTHSIDE OPERATIONS CENTER,2012-12-31T06:00:00.000Z,0,Other,55409,58683,1986,642.76,5075481.2,86.5,95.7,172.8,10140371.9,186.1,The Weidt Group,399432,0
-93.230843278588836,44.929032396009994,29,44.92903,-93.23084,1202824140160,1202824140163,4029 28TH AVE S,Roosevelt Senior High,2012-12-31T06:00:00.000Z,52,K-12 School,55406,307029,1925,2790.75,28385532.7,92.5,102.8,150.8,46301557.2,161.6,Minneapolis Public Schools,N/A,52
-93.248180763572336,45.000949711056933,30,45.00095,-93.24818,1402924140050,1402924140045,1234 CENTRAL AVE NE,NORTHEAST ICE ARENA,2012-12-31T06:00:00.000Z,0,Other,55411,32772,1996,377.48,2999342.7,91.5,99.6,181.9,5961874.7,190.4,The Weidt Group,295460,0
-93.314153038038071,45.036001707573625,31,45.036,-93.31415,1411821210050,1411821210048,2600 44TH AVE N,Loring Elementary,2012-12-31T06:00:00.000Z,55,K-12 School,55412,60096,1928,433.87,4975408.8,82.8,92.8,123.1,7399776.2,133.6,Minneapolis Public Schools,N/A,55
-93.269605583098581,44.918798387361612,32,44.9188,-93.26961,1502824110060,1502824110056,4645 4TH AVE S,Field Elementary,2012-12-31T06:00:00.000Z,26,K-12 School,55409,69530,1925,666.43,6806937.8,97.9,109.5,159.2,11067012.4,172.7,Minneapolis Public Schools,539308,26
-93.299744060880798,44.911769003528228,33,44.91177,-93.29974,1602824310000,1602824310001,1601 50TH ST W,Burroughs Elementary,2012-12-31T06:00:00.000Z,56,K-12 School,55419,162320,2002,1166.37,9016988.9,55.6,60.3,112.9,18331869.5,117.9,Minneapolis Public Schools,N/A,56
-93.23391551686052,45.010762622504181,34,45.01076,-93.23392,1202924420140,1202924420142,2250 GARFIELD ST NE,Pillsbury Elementary,2012-12-31T06:00:00.000Z,50,K-12 School,55418,83906,1991,671.04,5138878.1,61.2,66.4,125.5,10529286.8,130.9,Minneapolis Public Schools,N/A,50
-93.316937815418839,44.913340352181919,35,44.91334,-93.31694,1702824130180,1702824130177,4912 VINCENT AVE S,Lake Harriet Upper Campus (Fulton),2012-12-31T06:00:00.000Z,20,K-12 School,55410,77238,1925,636.47,6298052.3,81.5,90.5,135.9,10496866.7,145.2,Minneapolis Public Schools,845988,20
-93.229010715409217,44.908072665850852,36,44.90807,-93.22901,1302824440000,1302824440002,5209 30TH AVE S,Keewaydin Elementary,2012-12-31T06:00:00.000Z,3,K-12 School,55417,44050,1934,556.73,6395108.3,145.2,162.8,215.6,9499119.3,234.1,Minneapolis Public Schools,N/A,3
-93.256903404981145,44.90617032713682,37,44.90617,-93.2569,1402824430190,1402824430185,1220 54TH ST E,Hale Elementary,2012-12-31T06:00:00.000Z,6,K-12 School,55417,74619,1930,270.58,6989073.7,93.7,103.1,156.5,11681308.2,164.6,Minneapolis Public Schools,N/A,6
-93.295387231752812,44.898872142797231,38,44.89887,-93.29539,2102824130030,2102824130028,5720 EMERSON AVE S,Kenny Elementary,2012-12-31T06:00:00.000Z,37,K-12 School,55419,61776,1954,504.73,5619639.5,91,101.8,138.4,8548090,149.7,Minneapolis Public Schools,9255004,37
-93.262311262991531,44.99957767494088,39,44.99958,-93.26231,1402924230180,1402924230183,1201 UNIVERSITY AVE NE,Sheridan Elementary,2012-12-31T06:00:00.000Z,12,K-12 School,55413,126286,1932,1264.72,15231768.4,120.6,135.9,172.9,21831197.6,189.5,Minneapolis Public Schools,1325456,12
-93.280070956158568,44.896912228442865,40,44.89691,-93.28007,2202824310010,2202824310010,5821 WENTWORTH AVE,Windom Elementary,2012-12-31T06:00:00.000Z,34,K-12 School,55419,67466,1925,650.28,5511940.6,81.7,89.5,154.1,10394012.1,162.2,Minneapolis Public Schools,N/A,34
-93.286448994675823,44.89329130186897,41,44.89329,-93.28645,2202824330020,2202824330020,6036 HARRIET AVE,Harriet Maintenance Facility,2012-12-31T06:00:00.000Z,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",55419,53364,1959,349.3,3239407.8,60.7,70,105.9,5652641.2,115.7,City of Minneapolis,#REF!,0
-93.282307761216032,44.91339124534715,42,44.91339,-93.28231,1502824240000,1502824240001,201 49TH ST W,Ramsey Elem / Washburn Senior,2012-12-31T06:00:00.000Z,48,K-12 School,55409,403234,1925,3880.6,35126909.9,87.1,96,155.8,62827523.9,165.1,Minneapolis Public Schools,3158804,48
-93.282307761216032,44.981801756241879,43,44.9818,-93.28231,2202924310040,2202924310036,661 5TH AVE N,Royalston Maintenance Facility,2012-12-31T06:00:00.000Z,Not Available,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",55405,71029,1998,593.4,6072708.7,85.5,101.3,138.2,9817768,155,City of Minneapolis,#REF!,0
-93.278211443520448,44.977518956139058,44,44.97752,-93.27821,2202924340110,2202924340105,31 9TH ST N #RAMP,Hawthorne Ramp,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1999,1813.9,13703759.9,21.75,Not Available,Not Available,26994006.7,Not Available,City of Minneapolis,N/A,0
-93.279019927276167,44.980251343296111,45,44.98025,-93.27902,2202924340140,2202924340138,101 9TH ST N,TAD 7 and C/L Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1991,3032.7,17448884.2,Not Available,Not Available,Not Available,45061845.2,Not Available,City of Minneapolis,N/A,0
-93.27577700910048,44.981159992034236,46,44.98116,-93.27578,2202924420090,2202924420090,516 2ND AVE N #RAMP,TAD 5 and 5-7 Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1989,2010.8,13151296.1,21.28,Not Available,Not Available,30472841.6,Not Available,City of Minneapolis,N/A,0
-93.273953429073728,44.983040785626088,47,44.98304,-93.27395,2202924420100,2202924420099,318 2ND AVE N #RAMP,TAD 4 and  4 to 5 Skyway,2012-12-31T06:00:00.000Z,Not Available,Parking,55403,Not Available,1993,1832.8,12338580.9,Not Available,Not Available,Not Available,27907560.9,Not Available,City of Minneapolis,N/A,0
-93.270099656504854,44.980562700079929,48,44.98056,-93.2701,2202924440010,2202924440012,300 NICOLLET MALL,Central Library,2012-12-31T06:00:00.000Z,0,Other,55401,426374,2004,3427.57,19126809.7,44.9,46.3,117.6,50130814.3,117.6,Hennepin County,3570204,0
-93.277681437502821,45.000841727924161,49,45.00084,-93.27768,1502924130020,1502924130018,2117 WEST RIVER RD N,MPRB HEADQUARTERS,2012-12-31T06:00:00.000Z,81,Office,55411,75327,2001,833.29,4510860.4,59.9,63.1,164.7,12405138.5,170,The Weidt Group,1093576,81
